source_name source_uniprot target_uniprot
o43791 o43791 p60484
o43791 o43791 q05516
o43791 o43791 q13618
o43791 o43791 q14161
o43791 o43791 q8iyb3
o43791 o43791 q96cn9
o43791 o43791 q99836
o43791 o43791 q9uer7
o43809 o43809 o75530
o43809 o43809 p48740
o43809 o43809 q04724
o43827 o43827 p35609
o43852 o43852 o14744
o43896 o43896 p63104
o43900 o43900 p62993
o43909 o43909 p06241
o43913 o43913 p42771
o43913 o43913 p49736
o43918 o43918 o43918
o43918 o43918 p06241
o43918 o43918 p16333
o43918 o43918 p27986
o43918 o43918 q9bsl1
o43929 o43929 p42771
o43929 o43929 p49736
o60224 o60224 p17861
o60232 o60232 p35609
o60244 o60244 p35609
o60259 o60259 p60369
o60260 o60260 q99714
o60269 o60269 p60369
o60287 o60287 p16333
o60306 o60306 q9bqa1
o60306 o60306 q9unp9
o60336 o60336 p60369
o60336 o60336 q7z3s9
o60336 o60336 q8iuq4
o60341 o60341 o00628
o60341 o60341 o14646
o60341 o60341 o43295
o60341 o60341 o43597
o60341 o60341 o60341
o60341 o60341 o75410
o60341 o60341 o75521
o60341 o60341 o75558
o60341 o60341 o75843
o60341 o60341 o95391
o60341 o60341 o95863
o60341 o60341 o95983
o60341 o60341 o96006
o60341 o60341 p02538
o60341 o60341 p06241
o60341 o60341 p0c7w6
o60341 o60341 p48775
o60341 o60341 p49116
o60341 o60341 p51532
o60341 o60341 p55055
o60341 o60341 p56134
o60341 o60341 p60002
o60341 o60341 p61371
o60341 o60341 p62191
o60341 o60341 p80217
o60341 o60341 q02363
o60341 o60341 q13352
o60341 o60341 q13829
o60341 o60341 q14005
o60341 o60341 q15910
o60341 o60341 q16520
o60341 o60341 q16637
o60341 o60341 q53fe4
o60341 o60341 q5t6s3
o60341 o60341 q5tb80
o60341 o60341 q6p597
o60341 o60341 q6pid6
o60341 o60341 q7z3b3
o60341 o60341 q86w54
o60341 o60341 q8ixk0
o60341 o60341 q8iyd9
o60341 o60341 q8n0z3
o60341 o60341 q8n6k7
o60341 o60341 q8n6l0
o60341 o60341 q8neh6
o60341 o60341 q8nem0
o60341 o60341 q8nft6
o60341 o60341 q8nhq1
o60341 o60341 q8tbe0
o60341 o60341 q92922
o60341 o60341 q96a04
o60341 o60341 q96bd6
o60341 o60341 q96ey1
o60341 o60341 q96ez8
o60341 o60341 q96gm5
o60341 o60341 q96h20
o60341 o60341 q96jm7
o60341 o60341 q96n77
o60341 o60341 q96p16
o60341 o60341 q96sw2
o60341 o60341 q99996
o60341 o60341 q9bqs8
o60341 o60341 q9bvg8
o60341 o60341 q9bxl8
o60341 o60341 q9byv2
o60341 o60341 q9h1i8
o60341 o60341 q9np64
o60341 o60341 q9nrs6
o60341 o60341 q9ns23
o60341 o60341 q9p2k3
o60341 o60341 q9udy8
o60341 o60341 q9y2d8
o60341 o60341 q9y2z2
o60341 o60341 q9y466
o60341 o60341 q9y483
o60341 o60341 q9y5k5
o60381 o60381 q01844
o60383 o60383 o60341
o60493 o60493 p62993
o60502 o60502 p01023
o60573 o60573 q7z3s9
o60610 o60610 p61586
o60610 o60610 q15109
o60636 o60636 p62993
o60637 o60637 q01844
o60682 o60682 q01844
o60711 o60711 q9y6k9
o60721 o60721 p62993
o60732 o60732 o75116
o60732 o60732 p49406
o60732 o60732 q86yb7
o60732 o60732 q8n2y8
o60739 o60739 p54253
o60828 o60828 o43711
o60828 o60828 q9bqa1
o60880 o60880 p16333
o60885 o60885 p46108
o60885 o60885 q92905
o60888 o60888 p62993
o60888 o60888 q8wup2
o60896 o60896 p60369
o60934 o60934 p54274
o60936 o60936 p54274
o60936 o60936 q9nyb0
o75052 o75052 p06241
o75056 o75056 p60369
o75074 o75074 p48039
o75077 o75077 p63104
o75093 o75093 p48039
o75112 o75112 p35609
o75131 o75131 p47897
o75131 o75131 p54274
o75131 o75131 q9nyb0
o75150 o75150 p42858
o75157 o75157 q9bqa1
o75164 o75164 p06400
o75167 o75167 p16333
o75167 o75167 p62993
o75326 o75326 p16333
o75347 o75347 q9nyb0
o75354 o75354 p54253
o75369 o75369 p16333
o75369 o75369 q8wup2
o75376 o75376 p0c7t5
o75376 o75376 p35609
o75376 o75376 p42858
o75376 o75376 p54253
o75386 o75386 p35609
o75400 o75400 o60610
o75400 o75400 o60885
o75400 o75400 p42858
o75400 o75400 p51608
o75409 o75409 p42858
o75409 o75409 p54253
o75409 o75409 q8iuh5
o75410 o75410 p42858
o75419 o75419 p42771
o75419 o75419 p49736
o75438 o75438 q01844
o75469 o75469 p35609
o75496 o75496 p42771
o75506 o75506 p60369
o75506 o75506 q7z3s9
o75525 o75525 q8iuq4
o75528 o75528 o60341
o75529 o75529 p02766
o75529 o75529 p20073
o75529 o75529 q15714
o75530 o75530 o15379
o75530 o75530 p07711
o75530 o75530 p08758
o75530 o75530 p25490
o75530 o75530 q13228
o75530 o75530 q15910
o75530 o75530 q92769
o75530 o75530 q92800
o75530 o75530 q96b02
o75530 o75530 q9bvj7
o75530 o75530 q9gzq8
o75530 o75530 q9ny59
o75534 o75534 p16333
o75553 o75553 q8iuq4
o75554 o75554 p42858
o75593 o75593 p62993
o75626 o75626 p54253
o75643 o75643 p62993
o75716 o75716 p60369
o75781 o75781 p42858
o75800 o75800 p60369
o75815 o75815 q9bz95
o75884 o75884 q9nyb0
o75886 o75886 p54253
o75923 o75923 o43189
o75925 o75925 o43791
o75925 o75925 p42858
o75925 o75925 p63104
o75935 o75935 p54253
o75943 o75943 q96la8
o75956 o75956 o75530
o75964 o75964 o60732
o75970 o75970 p48039
o76003 o76003 p60369
o76003 o76003 q7z3s9
o76015 o76015 o60341
o76024 o76024 p54274
o76041 o76041 q8iuh5
o76083 o76083 p60369
o76083 o76083 q7z3s9
o94761 o94761 p54274
o94761 o94761 q9nyb0
o94776 o94776 q16576
o94806 o94806 q9y6k9
o94830 o94830 p48039
o94842 o94842 p54253
o94850 o94850 q8ix03
o94855 o94855 q01844
o94856 o94856 p16333
o94856 o94856 p62993
o94875 o94875 p63104
o94885 o94885 p16333
o94953 o94953 q15637
o94953 o94953 q9btt4
o94966 o94966 q8iuq4
o94967 o94967 p56279
o94972 o94972 q01844
o94973 o94973 p42858
o94992 o94992 p54274
o94992 o94992 q15554
o95067 o95067 p49736
o95070 o95070 q8iuh5
o95125 o95125 p60369
o95163 o95163 p42858
o95197 o95197 o43791
o95219 o95219 o00267
o95243 o95243 o43463
o95243 o95243 o60341
o95243 o95243 p42858
o95260 o95260 o43463
o95295 o95295 p35609
o95295 o95295 p48039
o95336 o95336 p54274
o95336 o95336 p60369
o95336 o95336 q7z3s9
o95343 o95343 q04724
o95361 o95361 p54274
o95363 o95363 p60369
o95363 o95363 q7z3s9
o95391 o95391 o14744
